NAME,ID,TEAM,PLAY_SEASON,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
Jordan Crawford,4243,boston-celtics,2013/2014,39,35,30.7,13.7,0.5,2.6,3.1,5.7,0.87,0.08,2.2,1.9,2.7,15.7
Jared Sullinger,6624,boston-celtics,2013/2014,74,44,27.6,13.3,3.3,4.9,8.1,1.6,0.47,0.66,1.6,3.4,1.0,16.4
Rajon Rondo,3026,boston-celtics,2013/2014,30,30,33.3,11.7,0.7,4.7,5.5,9.8,1.33,0.07,3.3,2.2,3.0,15.3
Brandon Bass,2745,boston-celtics,2013/2014,82,73,27.6,11.1,2.0,3.8,5.7,1.1,0.44,0.87,1.2,2.3,0.9,15.0
Jerryd Bayless,3417,boston-celtics,2013/2014,41,14,25.3,10.1,0.3,1.8,2.1,3.1,0.98,0.10,1.5,2.2,2.1,12.5
Kelly Olynyk,2489663,boston-celtics,2013/2014,70,9,20.0,8.7,2.0,3.2,5.2,1.6,0.50,0.39,1.5,3.2,1.0,15.3
Kris Humphries,2433,boston-celtics,2013/2014,69,30,19.9,8.4,1.8,4.1,5.9,1.0,0.45,0.88,0.9,2.0,1.0,18.3
Courtney Lee,3445,boston-celtics,2013/2014,30,0,16.8,7.4,0.3,1.4,1.6,1.1,0.67,0.30,0.8,1.2,1.3,14.7
Chris Johnson,2325975,boston-celtics,2013/2014,40,0,19.7,6.3,0.8,1.7,2.4,0.8,0.68,0.10,0.6,1.6,1.4,10.8
Gerald Wallace,1026,boston-celtics,2013/2014,58,16,24.4,5.1,0.6,3.0,3.7,2.5,1.26,0.24,1.7,1.4,1.5,10.0
